222,266,1
356,396,2
546,576,3
673,723,4
833,863,1
992,1023,2
1133,1160,3
1365,1400,4
1506,1551,1
1681,1711,2
1801,1837,3
1931,1969,4
2109,2143,1
2243,2266,2
2366,2390,3
2530,2554,4
2674,2704,1
2827,2867,2
2956,2986,3
3096,3136,4
3227,3271,1
3389,3421,2
3501,3542,3
3647,3690,4
3778,3849,1
4019,4046,2
4151,4244,3
4376,4448,4
4619,4661,1
4745,4814,2
4919,4950,3
5038,5068,4
5150,5204,1
5320,5357,2
5437,5480,3
5577,5607,4
5711,5750,1
5828,5870,2
5939,6037,3
6154,6226,4
