266,295,1
352,380,2
438,470,3
537,570,4
640,691,1
763,820,2
908,951,3
1036,1084,4
1169,1221,1
1306,1373,2
1469,1502,3
1592,1638,4
1711,1763,1
1858,1911,2
2043,2089,3
2216,2269,4
2345,2397,1
2493,2551,2
2688,2784,3
2944,2981,4
3092,3142,1
3245,3295,2
3467,3513,3
3632,3708,4
3849,3897,1
4000,4057,2
4154,4204,3
4312,4388,4
4488,4543,1
4663,4744,2
4823,4870,3
5005,5048,4
5134,5181,1
5248,5298,2
5390,5437,3
5554,5603,4
5694,5734,1
5846,5915,2
5994,6052,3
6201,6229,4
