164,188,1
270,303,4
382,410,3
487,510,2
565,588,1
651,691,4
756,787,3
857,888,2
940,967,1
1044,1083,4
1142,1178,3
1262,1289,2
1389,1440,1
1515,1545,4
1627,1658,3
1730,1757,2
1828,1849,1
1945,1995,4
2057,2108,3
2180,2229,2
2289,2331,1
2415,2444,4
2556,2596,3
2676,2706,2
2784,2815,1
2904,2930,4
3019,3050,3
3119,3149,2
3216,3244,1
3334,3361,4
3437,3460,3
3528,3559,2
3628,3658,1
3731,3761,4
3830,3861,3
3915,3945,2
4003,4022,1
4095,4123,4
4175,4202,3
4266,4290,2
