176,200,1
267,297,4
375,412,3
467,494,2
539,565,1
650,685,4
772,809,3
887,915,2
983,1027,1
1120,1150,4
1218,1258,3
1317,1380,2
1511,1541,1
1603,1640,4
1710,1757,3
1820,1865,2
1918,2002,1
2105,2193,4
2308,2356,3
2499,2541,2
2664,2708,1
2773,2826,4
2935,2981,3
3087,3125,2
3198,3305,1
3422,3478,4
3581,3625,3
3682,3741,2
3844,3912,1
3980,4046,4
4172,4222,3
4316,4351,2
4421,4455,1
4561,4593,4
4712,4763,3
4869,4907,2
5009,5046,1
5095,5126,4
5178,5215,3
5268,5300,2
