327,351,1
409,429,2
512,537,3
576,611,4
717,741,1
780,806,2
918,944,3
1009,1041,4
1096,1130,1
1189,1223,2
1295,1317,3
1374,1404,4
1538,1556,1
1654,1675,2
1784,1808,3
1896,1926,4
2007,2032,1
2079,2108,2
2180,2211,3
2269,2290,4
2360,2387,1
2431,2467,2
2602,2623,3
2672,2727,4
2812,2863,1
2934,2961,2
3041,3074,3
3162,3186,4
3264,3192,1
3337,3361,2
3576,3596,3
3686,3712,4
3787,3821,1
3859,3891,2
3957,3976,3
4071,4096,4
4201,4223,1
4298,4324,2
4504,4534,3
4603,4632,4
