266,287,1
460,484,2
718,745,3
965,986,4
1265,1299,1
1497,1533,2
1735,1775,3
2082,2100,4
2291,2317,1
2547,2580,2
2838,2865,3
3131,3185,4
3405,3443,1
3602,3629,2
3768,3804,3
4038,4064,4
4265,4295,1
4447,4475,2
4722,4744,3
5061,5095,4
5306,5342,1
5568,5587,2
5792,5822,3
6046,6076,4
6307,6339,1
6516,6543,2
6792,6816,3
7084,7111,4
7323,7353,1
7633,7660,2
7862,7896,3
8171,8201,4
8401,8432,1
8769,8807,2
9049,9084,3
9262,9290,4
9528,9577,1
9794,9835,2
9993,10032,3
10156,10186,4
