266,308,1
429,532,2
800,873,3
1234,1262,4
1638,1688,1
1984,2031,2
2263,2300,3
2593,2637,4
2955,3045,1
3367,3434,2
3768,3825,3
4216,4277,4
4616,4686,1
4986,5030,2
5314,5355,3
5622,5663,4
5955,5991,1
6253,6296,2
6637,6685,3
6944,7002,4
7272,7313,1
7575,7635,2
7882,7940,3
8134,8195,4
8452,8502,1
8701,8758,2
9070,9128,3
9431,9535,4
9840,9900,1
10106,10139,2
10349,10399,3
10619,10681,4
10897,10957,1
11139,11222,2
11428,11477,3
11658,11698,4
11997,12045,1
12325,12375,2
12580,12611,3
12813,12861,4
