303,330,1
441,475,2
595,655,3
825,852,4
1003,1067,1
1197,1228,2
1354,1430,3
1531,1576,4
1726,1773,1
1863,1903,2
2023,2073,3
2190,2221,4
2368,2408,1
2528,2563,2
2780,2814,3
2924,2959,4
3089,3143,1
3298,3348,2
3477,3542,3
3757,3790,4
3900,3973,1
4130,4168,2
4328,4380,3
4517,4574,4
4686,4721,1
4831,4864,2
4985,5055,3
5134,5212,4
5344,5391,1
5493,5539,2
5678,5718,3
5828,5881,4
5994,6070,1
6258,6296,2
6441,6487,3
6590,6652,4
6791,6831,1
6911,6964,2
7072,7142,3
7234,7311,4
