307,328,1
467,491,2
627,656,3
841,865,4
1041,1064,1
1235,1260,2
1516,1544,3
1666,1699,4
1923,1953,1
2094,2117,2
2286,2315,3
2494,2521,4
2830,2857,1
3067,3088,2
3296,3318,3
3529,3554,4
3772,3791,1
3970,3990,2
4202,4224,3
4483,4503,4
4756,4783,1
5119,5138,2
5427,5453,3
5660,5691,4
5946,5972,1
6223,6244,2
6496,6521,3
6877,6911,4
7213,7236,1
7482,7498,2
7874,7909,3
8173,8198,4
8469,8487,1
8703,8723,2
9115,9157,3
9480,9505,4
9822,9843,1
10215,10237,2
10606,10631,3
11045,11064,4
