234,258,1
538,569,2
819,856,3
1085,1112,4
1356,1383,1
1796,1821,2
2091,2126,3
2436,2464,4
2811,2844,1
3155,3186,2
3491,3586,3
3856,3891,4
4153,4187,1
4442,4471,2
4751,4775,3
4992,5022,4
5361,5393,1
5686,5711,2
6108,6132,3
6403,6426,4
6708,6738,1
7080,7105,2
7318,7345,3
7595,7618,4
7856,7887,1
8141,8166,2
8510,8594,3
8814,8829,4
9080,9102,1
9403,9425,2
9881,9904,3
10095,10117,4
10388,10411,1
10741,10766,2
11346,11366,3
11577,11593,4
11806,11834,1
12059,12079,2
12292,12313,3
12501,12521,4
12768,12793,1
13095,13123,2
13390,13414,3
13604,13629,4
