207,228,1
431,455,2
816,839,3
1146,1168,4
1405,1426,1
1683,1704,2
1953,1980,3
2240,2267,4
2491,2512,1
2719,2738,2
2935,2962,3
3166,3186,4
3487,3507,1
3717,3736,2
3981,4004,3
4366,4385,4
4593,4613,1
4857,4877,2
5086,5114,3
5289,5310,4
5545,5563,1
5825,5850,2
6112,6136,3
6372,6397,4
6641,6666,1
7047,7069,2
7295,7317,3
7570,7592,4
7813,7831,1
8078,8100,2
8293,8318,3
8622,8642,4
8894,8911,1
9166,9189,2
9458,9483,3
9787,9808,4
10100,10120,1
10361,10380,2
10595,10615,3
11025,11044,4
