230,259,1
327,359,2
479,512,3
590,630,4
736,767,1
874,900,2
975,1010,3
1107,1148,4
1236,1280,1
1374,1411,2
1496,1537,3
1623,1673,4
1755,1789,1
1867,1917,2
2019,2051,3
2156,2191,4
2257,2289,1
2376,2410,2
2516,2556,3
2642,2685,4
2764,2809,1
2891,2939,2
3096,3128,3
3224,3274,4
3377,3407,1
3500,3539,2
3662,3694,3
3795,3835,4
3972,4005,1
4086,4116,2
4229,4254,3
4348,4379,4
4500,4533,1
4621,4661,2
4830,4863,3
4979,5050,4
5167,5198,1
5315,5349,2
5486,5518,3
5632,5663,4
