307,338,1
493,534,2
635,665,3
758,787,4
898,942,1
1035,1076,2
1180,1215,3
1398,1425,4
1662,1692,1
1841,1872,2
2025,2064,3
2185,2211,4
2355,2421,1
2524,2583,2
2718,2758,3
2902,2940,4
3126,3151,1
3280,3314,2
3415,3445,3
3565,3609,4
3775,3800,1
3979,4002,2
4124,4210,3
4435,4475,4
4757,4785,1
4905,4936,2
5120,5155,3
5388,5419,4
5655,5690,1
5791,5834,2
5990,6022,3
6234,6259,4
6372,6406,1
6530,6555,2
6650,6705,3
6920,6948,4
7074,7110,1
7265,7298,2
7489,7516,3
7618,7648,4
