260,287,1
426,445,2
608,634,3
796,816,4
962,980,1
1143,1161,2
1294,1314,3
1490,1506,4
1679,1694,1
1847,1864,2
2098,2118,3
2275,2289,4
2450,2465,1
2613,2631,2
2808,2825,3
2986,3010,4
3176,3199,1
3426,3444,2
3653,3674,3
3838,3859,4
4070,4089,1
4252,4268,2
4436,4455,3
4623,4641,4
4830,4851,1
4999,5015,2
5188,5207,3
5360,5381,4
5571,5588,1
5780,5795,2
5988,6003,3
6199,6218,4
6410,6434,1
6633,6651,2
6826,6844,3
7010,7027,4
7189,7205,1
7381,7400,2
7618,7640,3
7867,7883,4
