262,309,1
612,672,2
910,967,3
1168,1221,4
1605,1658,1
1895,1951,2
2174,2233,3
2434,2500,4
2633,2776,1
3014,3079,2
3280,3351,3
3536,3660,4
3960,4012,1
4196,4257,2
4517,4577,3
4777,4829,4
5018,5093,1
5254,5325,2
5539,5606,3
5772,5840,4
6023,6090,1
6287,6340,2
6516,6569,3
6836,6885,4
7112,7193,1
7359,7437,2
7638,7695,3
7860,7940,4
8090,8214,1
8386,8459,2
8692,8752,3
8967,9021,4
9216,9275,1
9490,9535,2
9758,9842,3
10067,10129,4
10467,10528,1
10799,10859,2
11068,11151,3
11375,11451,4
