304,336,1
406,439,2
512,568,3
635,678,4
766,824,1
899,953,2
1036,1101,3
1206,1253,4
1346,1414,1
1516,1571,2
1668,1727,3
1810,1887,4
2069,2154,1
2251,2353,2
2463,2568,3
2657,2706,4
2818,2872,1
3024,3092,2
3198,3271,3
3378,3420,4
3524,3598,1
3708,3792,2
3977,4024,3
4155,4237,4
4347,4446,1
4616,4676,2
4844,4965,3
5081,5165,4
5303,5364,1
5509,5556,2
5736,5766,3
5922,5970,4
6170,6207,1
6346,6394,2
6614,6657,3
6793,6834,4
7027,7063,1
7247,7294,2
7447,7488,3
7659,7709,4
